City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Grand Gaube,-20.01,57.66,71.01,80,0,3.0,MU,1602815679
Lerwick,60.15,-1.15,46.4,87,96,12.75,GB,1602815920
Sharjah city,25.36,55.4,77.0,42,0,5.82,AE,1602815920
Cidreira,-30.18,-50.21,64.9,82,91,8.5,BR,1602815770
Monticello,45.31,-93.79,39.99,64,1,7.65,US,1602815742
Chui,-33.7,-53.46,57.16,91,100,6.44,UY,1602815688
Yellowknife,62.46,-114.35,26.01,73,75,18.34,CA,1602815586
Brae,60.4,-1.35,46.4,87,100,12.75,GB,1602815921
Lalawigan,11.59,125.47,83.57,71,99,3.62,PH,1602815921
Poronaysk,49.22,143.12,43.0,59,67,16.78,RU,1602815921
Lere,10.39,8.57,70.54,83,31,2.44,NG,1602815921
San Patricio,28.02,-97.52,81.0,83,40,13.87,US,1602815922
Batagay-Alyta,67.8,130.41,15.4,92,43,2.15,RU,1602815922
Srednekolymsk,67.45,153.68,32.2,98,100,7.31,RU,1602815922
Dingle,11.0,122.67,80.67,83,100,6.49,PH,1602815775
Haizhou,34.58,119.13,64.38,62,100,6.17,CN,1602815922
Kashgar,39.45,75.98,53.6,32,75,4.47,CN,1602815779
Maceió,-9.67,-35.74,69.8,94,61,3.36,BR,1602815500
Berezovyy,51.67,135.7,39.94,60,100,13.47,RU,1602815923
Marbella,36.52,-4.89,62.6,36,58,12.75,ES,1602815923
Narodychi,51.2,29.08,48.54,93,100,4.18,UA,1602815923
Luza,60.63,47.25,32.49,95,98,9.57,RU,1602815923
Khatanga,71.97,102.5,3.58,94,39,7.63,RU,1602815691
Oxapampa,-10.58,-75.4,56.82,89,5,3.53,PE,1602815924
Hirara,24.8,125.28,84.2,69,75,14.99,JP,1602815924
Ada,43.42,-116.13,51.8,37,1,3.36,US,1602815924
Baghlan,36.13,68.71,61.93,31,0,2.57,AF,1602815924
Pangnirtung,66.15,-65.71,37.2,78,100,8.63,CA,1602815925
Provideniya,64.38,-173.3,44.6,81,90,29.08,RU,1602815669
Metro,-5.11,105.31,88.09,62,51,8.41,ID,1602815925
Barrow,71.29,-156.79,23.0,85,90,17.22,US,1602815708
Vaini,-21.2,-175.2,78.8,83,75,6.93,TO,1602815686
Bud,39.45,-86.18,46.0,100,1,6.98,US,1602815697
Altay,47.87,88.12,42.82,54,99,3.15,CN,1602815722
Hammerfest,70.66,23.68,35.6,100,75,13.87,NO,1602815926
São José da Coroa Grande,-8.9,-35.15,74.73,80,97,6.53,BR,1602815926
Waingapu,-9.66,120.26,88.2,49,90,9.15,ID,1602815927
Lavrentiya,65.58,-171.0,38.26,91,100,22.55,RU,1602815684
Bhīmunipatnam,17.88,83.43,80.6,100,75,4.7,IN,1602815927
Scarborough,54.28,-0.4,50.0,78,99,1.99,GB,1602815927
Kelo,9.31,15.81,71.96,84,8,5.75,TD,1602815752
Codrington,-38.27,141.97,60.17,67,0,11.07,AU,1602815677
Puerto Ayora,-0.74,-90.35,71.01,88,62,1.99,EC,1602815467
Saint-Philippe,-21.36,55.77,69.8,52,40,6.93,RE,1602815684
Isangel,-19.55,169.27,78.8,88,90,14.92,VU,1602815727
Kirkwall,58.98,-2.96,48.2,87,64,11.41,GB,1602815928
Dārāb,28.75,54.54,58.33,23,0,6.51,IR,1602815928
Hilo,19.73,-155.09,82.4,65,1,13.87,US,1602815553
Pacific Grove,36.62,-121.92,73.4,35,1,1.74,US,1602815699
Sechura,-5.56,-80.82,66.31,77,14,12.08,PE,1602815929
Marsá Maţrūḩ,31.35,27.25,64.4,77,0,3.53,EG,1602815714
Tessalit,20.2,1.01,84.16,14,0,7.9,ML,1602815704
Magán,39.97,-3.93,51.01,65,0,4.83,ES,1602815930
Broome,42.25,-75.83,55.99,87,90,10.29,US,1602815675
Kralendijk,12.15,-68.27,84.2,79,0,11.41,BQ,1602815930
Lingao,19.91,109.69,79.57,83,100,27.09,CN,1602815930
Kismayo,-0.36,42.55,78.24,79,0,14.34,SO,1602815761
College,64.86,-147.8,21.2,67,75,8.05,US,1602815931
Almazar,40.32,69.01,46.4,81,0,4.47,UZ,1602815931
Barcelona,41.39,2.16,53.01,70,20,12.75,ES,1602815699
San Vicente,-26.62,-54.13,62.64,78,61,3.44,AR,1602815931
Pithorāgarh,29.58,80.22,64.29,55,0,2.06,IN,1602815932
Bay Roberts,47.6,-53.26,55.99,1,6,3.13,CA,1602815932
Danshui,22.8,114.47,84.0,93,63,23.0,CN,1602815932
Kaitangata,-46.28,169.85,63.0,38,100,3.0,NZ,1602815677
Praia,14.92,-23.51,78.8,94,40,10.29,CV,1602815932
Klaksvík,62.23,-6.59,42.8,87,85,1.68,FO,1602815697
Pisco,-13.7,-76.22,64.4,82,88,2.24,PE,1602815745
Teluk Nibung,3.0,99.82,85.44,71,99,4.56,ID,1602815933
Vanimo,-2.67,141.3,78.28,89,100,0.81,PG,1602815688
Gorontalo,0.54,123.06,88.52,59,99,5.19,ID,1602815933
Cassilândia,-19.11,-51.73,69.17,90,100,5.75,BR,1602815934
Thinadhoo,0.53,72.93,83.62,74,74,20.07,MV,1602815762
Rapid Valley,44.06,-103.15,37.0,55,1,6.93,US,1602815934
Jumla,29.27,82.18,65.35,37,0,2.24,NP,1602815934
Saldanha,-33.01,17.94,50.0,81,65,3.36,ZA,1602815690
Grindavik,63.84,-22.43,46.4,87,90,6.93,IS,1602815705
Bonthe,7.53,-12.51,77.95,86,94,5.82,SL,1602815776
Chengde,40.97,117.94,54.27,36,0,11.9,CN,1602815935
Aliwal North,-30.69,26.71,54.39,54,0,5.86,ZA,1602815935
Geraldton,-28.77,114.6,73.4,46,49,10.29,AU,1602815676
Concarneau,47.88,-3.92,48.2,93,3,4.7,FR,1602815935
Katsuura,35.13,140.3,63.0,63,75,16.11,JP,1602815702
Srīvardhan,18.03,73.02,80.02,89,89,12.15,IN,1602815936
San Miguel,13.48,-88.18,74.43,92,97,1.48,SV,1602815936
Al Bardīyah,31.76,25.09,71.35,60,77,10.87,LY,1602815937
Moose Factory,51.26,-80.61,33.8,96,90,13.87,CA,1602815937
Hambantota,6.12,81.12,82.4,83,20,5.82,LK,1602815757
York,40.13,-77.0,66.2,72,90,3.36,US,1602815937
Noumea,-22.28,166.46,77.0,94,100,8.05,NC,1602815684
Petropavl,54.88,69.16,45.05,58,93,11.95,KZ,1602815938
Porto Belo,-27.16,-48.55,66.2,77,20,3.36,BR,1602815851
Carauari,-4.88,-66.9,73.36,97,32,0.89,BR,1602815730
Dungarvan,52.09,-7.63,46.99,85,3,6.62,IE,1602815804
Poyarkovo,49.6,128.68,45.07,51,0,11.95,RU,1602815939
Cabedelo,-6.98,-34.83,75.2,88,5,4.7,BR,1602815939
Esperance,-33.87,121.9,62.6,77,75,10.29,AU,1602815678
Huilong,31.81,121.66,64.0,86,100,10.02,CN,1602815939
Passos,-20.72,-46.61,66.85,89,68,3.53,BR,1602815939
Gizo Government Station,-8.1,156.84,83.79,70,64,3.69,SB,1602815775
Haines Junction,60.75,-137.51,32.16,94,81,1.97,CA,1602815940
Sioux Lookout,50.1,-91.92,32.0,89,75,11.41,CA,1602815940
Vaskút,46.11,18.99,48.81,95,73,5.77,HU,1602815940
Curaçá,-8.99,-39.91,74.03,69,0,14.45,BR,1602815940
Šibenik,43.73,15.91,57.2,67,4,6.93,HR,1602815941
Coracora,-15.03,-73.78,49.87,67,100,4.81,PE,1602815941
Hamilton,39.18,-84.53,48.99,81,90,9.17,US,1602815661
Touros,-5.2,-35.46,77.0,83,40,6.93,BR,1602815551
Nanortalik,60.14,-45.24,39.92,71,100,3.69,GL,1602815783
Phalodi,27.13,72.37,85.1,15,0,12.26,IN,1602815942
Oodweyne,9.41,45.06,70.18,59,3,1.63,SO,1602815942
Kruisfontein,-34.0,24.73,55.0,95,95,1.01,ZA,1602815691
Seoul,37.57,126.98,57.2,58,90,3.36,KR,1602815592
Airai,-8.93,125.41,81.54,34,99,3.22,TL,1602815742
Kapit,2.02,112.93,90.18,57,100,2.42,MY,1602815943
Along,28.17,94.77,81.61,60,6,0.47,IN,1602815943
Wattegama,6.8,81.48,82.4,83,20,5.82,LK,1602815943
Governador Valadares,-18.85,-41.95,73.26,86,100,0.78,BR,1602815943
Kualakapuas,-3.01,114.39,84.2,74,40,6.93,ID,1602815943
Santa Cruz de La Palma,28.68,-17.76,73.4,73,90,4.7,ES,1602815943
Kalmunai,7.42,81.82,84.42,62,96,3.13,LK,1602815476
Álamos,27.02,-108.93,87.01,59,0,8.01,MX,1602815944
Torbay,47.67,-52.73,57.0,100,90,6.93,CA,1602815680
Jacareacanga,-6.22,-57.75,75.65,72,2,0.78,BR,1602815760
Panguna,-6.32,155.48,76.17,88,94,1.43,PG,1602815944
Cairns,-16.92,145.77,82.0,61,40,10.29,AU,1602815945
Clyde,41.3,-82.98,48.0,86,100,9.37,US,1602815945
Colac,-38.33,143.58,59.0,70,0,4.0,AU,1602815945
Gannan,47.91,123.5,45.14,53,0,8.46,CN,1602815945
Upernavik,72.79,-56.15,29.19,86,88,4.56,GL,1602815729
Panna,24.72,80.2,83.16,66,0,8.3,IN,1602815946
Chicama,-7.84,-79.15,63.52,80,34,4.85,PE,1602815711
Mwense,-10.38,28.7,70.47,65,0,5.84,ZM,1602815946
Ayagoz,47.97,80.44,50.07,45,0,2.19,KZ,1602815946
Soleşti,46.77,27.78,54.0,100,0,6.93,RO,1602815946
Huanan,46.22,130.52,47.57,49,21,6.42,CN,1602815947
Sitka,57.05,-135.33,48.2,61,90,6.93,US,1602815776
Saint-Augustin,51.23,-58.65,44.38,88,32,8.84,CA,1602815720
Olinda,-8.01,-34.86,78.8,74,40,8.05,BR,1602815416
Faanui,-16.48,-151.75,79.61,77,25,8.3,PF,1602815673
Sørland,67.67,12.69,45.1,82,99,13.02,NO,1602815948
Bichura,50.59,107.6,43.9,57,85,3.98,RU,1602815948
Udachny,66.42,112.4,12.2,85,100,6.71,RU,1602815948
Wanlaweyn,2.62,44.89,75.9,86,31,9.08,SO,1602815949
Plungė,55.91,21.84,42.01,93,81,6.93,LT,1602815949
Weil im Schönbuch,48.62,9.06,46.4,93,75,9.17,DE,1602815949
Kieta,-6.22,155.63,83.59,70,90,3.69,PG,1602815949
Nuuk,64.18,-51.72,39.2,69,100,13.87,GL,1602815949
Paragominas,-2.97,-47.48,73.6,88,0,3.6,BR,1602815950
Khasan,42.43,130.64,55.78,51,1,10.11,RU,1602815950
Mutsu,41.29,141.22,60.01,47,40,12.75,JP,1602815950
Pochutla,15.74,-96.47,79.0,84,100,3.18,MX,1602815732
Mumbai,19.01,72.85,80.6,88,40,9.37,IN,1602815729
Hay River,60.82,-115.8,26.6,53,75,19.46,CA,1602815950
Russell,32.35,-85.2,71.6,93,1,2.21,US,1602815951
Saint George,37.1,-113.58,73.4,13,1,28.86,US,1602815479
Madang,-5.22,145.8,84.27,66,99,7.05,PG,1602815951
Tamandaré,-8.76,-35.1,74.66,81,98,5.97,BR,1602815710
Kununurra,-15.77,128.73,93.2,41,0,6.93,AU,1602815723
Tautira,-17.73,-149.15,78.8,74,75,16.11,PF,1602815952
Doha,25.29,51.53,80.6,61,0,3.36,QA,1602815707
Soyo,-6.13,12.37,75.52,82,100,4.23,AO,1602815952
Chumikan,54.72,135.31,38.17,69,99,20.38,RU,1602815952
Severnyy,50.68,36.55,51.8,71,100,6.71,RU,1602815679
Bismarck,46.81,-100.78,39.2,60,20,12.75,US,1602815401
Coquimbo,-29.95,-71.34,55.4,87,91,3.36,CL,1602815722
Guerrero Negro,27.98,-114.06,77.45,67,5,14.34,MX,1602815953
Amapá,1.0,-52.0,71.78,91,0,2.64,BR,1602815712
Porto Santo,33.07,-16.34,66.2,72,20,8.05,PT,1602815953
Ishigaki,24.34,124.16,84.2,74,75,16.11,JP,1602815889
Afonino,56.26,44.09,50.0,66,20,6.71,RU,1602815954
Shingū,33.73,135.98,69.8,52,75,4.7,JP,1602815954
Lompoc,34.64,-120.46,70.0,64,1,4.7,US,1602815769
Berlevåg,70.86,29.09,35.87,85,100,16.17,NO,1602815759
Tabou,4.42,-7.35,76.59,90,52,7.61,CI,1602815954
Pevek,69.7,170.31,36.73,85,100,15.01,RU,1602815692
Duku,11.24,4.91,76.03,76,3,3.36,NG,1602815955
Lagoa,39.05,-27.98,67.93,86,85,13.02,PT,1602815722
Vargem Grande,-3.54,-43.92,76.51,85,4,4.03,BR,1602815955
Ahipara,-35.17,173.17,56.73,72,54,5.5,NZ,1602815705
Bilibino,68.05,166.44,30.13,94,100,3.31,RU,1602815528
Port Lincoln,-34.73,135.87,59.56,79,100,6.69,AU,1602815736
La Macarena,2.18,-73.78,72.05,95,99,0.83,CO,1602815956
Bolgatanga,10.79,-0.85,77.47,81,0,4.25,GH,1602815956
San Rafael del Sur,11.85,-86.44,77.0,83,20,4.7,NI,1602815956
Gouré,13.98,10.27,82.0,51,2,3.47,NE,1602815714
Praia da Vitória,38.73,-27.07,68.0,100,75,4.59,PT,1602815726
Kupang,-10.17,123.58,89.6,59,20,8.05,ID,1602815957
Chara,56.91,118.26,30.65,90,100,3.18,RU,1602815957
Port Blair,11.67,92.75,82.26,79,100,11.14,IN,1602815740
Alta Floresta,-9.88,-56.09,79.56,53,57,3.02,BR,1602815701
Nālūt,30.33,10.85,71.15,22,18,7.09,LY,1602815958
Yermakovskoye,53.28,92.4,43.25,89,100,11.86,RU,1602815958
Newport,51.59,-3.0,48.0,94,4,10.25,GB,1602815958
Eureka,40.8,-124.16,66.0,79,0,1.01,US,1602815958
Amoy,24.48,118.08,77.0,65,75,6.71,CN,1602815958
Paysandu,-32.32,-58.08,61.97,86,100,8.41,UY,1602815846
Inverell,-29.78,151.12,84.99,35,1,4.0,AU,1602815959
Iquitos,-3.75,-73.25,74.17,94,100,1.99,PE,1602815664
Koróni,36.8,21.95,66.99,100,20,10.87,GR,1602815959
Inírida,3.87,-67.92,75.72,86,51,1.86,CO,1602815713
Lithakia,37.72,20.83,73.4,83,40,18.34,GR,1602815960
Asahikawa,43.77,142.37,48.2,45,75,8.05,JP,1602815960
Yashkul',46.17,45.34,55.17,82,5,4.79,RU,1602815960
Souillac,-20.52,57.52,69.8,88,40,4.7,MU,1602815721
Rio Grande,-32.03,-52.1,61.12,92,0,10.4,BR,1602815720
Burnie,-41.07,145.92,55.99,40,83,8.99,AU,1602815960
Paamiut,61.99,-49.67,39.2,74,100,18.32,GL,1602815767
Oranjemund,-28.55,16.43,59.54,75,0,5.91,NA,1602815961
Henties Bay,-22.12,14.28,57.99,94,63,2.28,NA,1602815746
Mongu,-15.25,23.13,71.44,50,9,5.39,ZM,1602815961
Oistins,13.07,-59.53,82.4,74,40,16.11,BB,1602815961
Moorhead,46.87,-96.77,42.8,38,90,12.75,US,1602815962
Malbork,54.04,19.03,46.99,100,76,5.08,PL,1602815962
Dalby,-27.18,151.27,80.6,26,0,10.29,AU,1602815705
Port Hardy,50.7,-127.42,48.2,93,90,19.46,CA,1602815753
Marathon,44.9,-89.77,37.4,51,90,4.7,US,1602815962
Laguna,38.42,-121.42,79.0,33,1,4.05,US,1602815963
Flinders,-34.58,150.86,64.99,72,90,8.05,AU,1602815743
Kuusamo,65.97,29.18,32.0,90,90,11.41,FI,1602815963
Mount Isa,-20.73,139.5,89.6,21,0,11.41,AU,1602815730
Apateu,46.62,21.78,55.0,93,34,3.36,RO,1602815963
Taoudenni,22.68,-3.98,85.14,14,0,11.45,ML,1602815733
Yugorsk,61.31,63.33,40.12,91,100,11.92,RU,1602815964
Arman',59.7,150.17,34.12,77,10,7.07,RU,1602815964
Tefé,-3.35,-64.71,73.8,94,23,1.48,BR,1602815964
Srandakan,-7.94,110.25,82.89,70,76,10.07,ID,1602815964
The Valley,18.22,-63.06,82.4,78,40,12.75,AI,1602815812
Bat Khela,34.62,71.97,72.28,25,0,4.81,PK,1602815965
Dakar,14.69,-17.44,78.8,94,20,4.7,SN,1602815965
